--------------------------------
STUDENT HEADER :
El Bechir El Hadj 
Student number : 300294124
--------------------------------
0 : 2176
1 : 6550
2 : 2707
3 : 9843
4 : 7715
5 : 1097
6 : 2456
7 : 5447
8 : 2394
9 : 7096
10 : 3057
11 : 4697
12 : 2113
13 : 3609
14 : 797
15 : 5326
16 : 3829
17 : 4096
18 : 903
19 : 1699
20 : 8628
21 : 4490
22 : 4957
23 : 7123
24 : 4630
25 : 2900
26 : 9899
27 : 904
28 : 8189
29 : 5453
30 : 5207
31 : 5559
32 : 8619
33 : 687
34 : 7058
35 : 5841
36 : 5842
37 : 3640
38 : 5023
39 : 4677
40 : 8307
41 : 4643
42 : 5224
43 : 4314
44 : 5428
45 : 5560
46 : 5880
47 : 5641
48 : 9360
49 : 5084
50 : 5653
51 : 6123
52 : 5673
53 : 8612
54 : 6158
55 : 7019
56 : 8399
57 : 5211
58 : 7237
59 : 6834
60 : 9213
61 : 8313
62 : 9682
63 : 6321
64 : 5635
65 : 6405
66 : 5390
67 : 6857
68 : 8134
69 : 5877
70 : 6124
71 : 8875
72 : 6609
73 : 6853
74 : 8399
75 : 6553
76 : 7903
77 : 8578
78 : 9208
79 : 6070
80 : 3487
81 : 3086
82 : 5724
83 : 6005
84 : 3879
85 : 8354
86 : 8579
87 : 7722
88 : 7098
89 : 7627
90 : 9258
91 : 8896
92 : 8356
93 : 8978
94 : 7358
95 : 9205
96 : 2394
97 : 6142
98 : 5460
99 : 8082
La precision est de : 74.0%
Total runtime : 78
Average runtime : 0.78
